,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
32,AWK,31976059000,0.282,42.55,4.198,11.04,0.114,0.196,4.657,148.65
33,AMP,33321906000,1.61,15.89,18.4,2.373,0.38,0.174,5.84,198.43
34,ABC,25627461000,0.479,16.68,7.39,0.139,-99999.99,0.0072,114.74,104.7
35,AME,33021667000,1.306,35.67,3.99,6.77,0.152,0.177,5.04,111.79
36,AMGN,118787146000,0.615,22.03,9.7,5.57,0.585,0.218,14.46,232.58
37,APH,50395801000,1.238,34.44,2.38,5.29,0.267,0.144,8.48,60.28
38,ADI,96361405000,1.125,50.95,3.46,13.83,0.0556,0.19,2.536,138.4
39,ANSS,34765938000,1.242,74.12,5.32,18.42,0.118,0.249,8.01,321.92
40,ANTM,104610025000,1.045,19.52,22.23,0.91,0.158,0.0412,2.927,321.11
41,AON,64720441000,0.892,73.3,4.013,6.07,0.327,0.0758,29.3,224.35
42,AOS,13310727000,1.126,28.43,2.89,3.779,0.257,0.138,7.02,56.83
43,APA,9688524000,4.755,15.95,1.564,2.434,1.137,0.0859,2.821,17.59
44,AAPL,2944127942000,1.203,30.92,5.61,8.22,1.474,0.259,46.67,114.04
45,AMAT,137904270000,1.38,22.86,6.4,5.98,0.516,0.255,11.26,92.65
46,APTV,45708774000,2.09,54.68,2.941,3.018,0.11,0.0547,5.51,116.58
47,ADM,35496548000,0.882,14.04,4.63,0.554,0.126,0.0326,1.616,50.95
48,ANET,40158891000,1.168,53.24,2.463,13.29,0.226,0.283,10.39,70.46
49,AJG,35154349000,0.69,36.05,4.622,4.811,0.138,0.122,4.175,118.24
50,AIZ,8831390000,0.645,6.78,22.64,0.857,0.0904,0.132,1.537,134.1
51,T,163100440000,0.667,173.95,0.129,1.981,0.0137,0.0067,0.996,30.07
52,ATO,12678448000,0.463,18.97,5.12,5.91,0.0906,0.195,1.603,99.06
53,ADSK,59172849000,1.401,44.19,5.93,14.34,1.956,0.313,46.23,254.14
54,ADP,99754244000,0.757,36.35,6.32,6.61,0.483,0.175,18.64,172.67
55,AZO,41410435000,0.851,19.51,102.57,2.844,-99999.99,0.151,-,1286.1
56,AVB,34218360000,0.951,33.82,7.24,18.6,0.0941,0.444,3.172,186.02
57,AVY,17604825000,1.005,23.51,8.91,2.507,0.478,0.0912,9.78,159.7
58,BKR,22131987000,1.623,133.78,0.18,1.217,0.0166,0.0068,1.565,19.76
59,BLL,30284106000,0.476,38.23,2.428,2.822,0.241,0.061,8.18,81.83
60,BAC,364355421000,1.509,13.27,3.34,-,0.112,0.334,1.463,32.73
61,BBWI,19708072000,1.731,12.79,5.74,1.868,0,0.123,-,67.22
62,BAX,40486072000,0.612,34.73,2.376,3.507,0.141,0.0975,4.616,82.52
63,BDX,69577257000,0.714,36.91,6.85,4.193,0.0882,0.103,2.939,248.5
64,BBY,24975032000,1.587,9.89,10.34,0.487,0.632,0.0505,5.84,102.6
65,BIO,22341385000,0.874,3.284,220.48,7.12,0.551,2.235,1.456,559.19
66,TECH,18313176000,1.135,106.32,4.337,18.75,0.114,0.179,11.17,334.04
67,BIIB,34170183000,0.416,22.96,10.22,3.498,0.195,0.139,3.276,290.53
68,BLK,140547695000,1.202,24.0,37.61,7.55,0.17,0.31,3.817,685.32
69,BK,46848829000,1.149,14.47,3.925,-,0.0818,0.229,1.199,44.05
70,BA,120513603000,1.526,None,-14.51,2.595,-99999.99,-0.135,-,214.02
71,BKNG,91832735000,1.221,229.72,9.25,9.87,0.0731,0.0415,16.56,2003.18
72,BWA,11046263000,1.472,13.9,3.208,0.932,0.146,0.0507,1.662,40.54
73,BXP,17823212000,1.185,55.91,2.044,10.86,0.0524,0.119,3.118,104.54
74,BSX,58666940000,0.868,53.3,0.769,5.77,0.0722,0.101,3.564,39.54
75,BMY,125099189000,0.586,None,-2.42,3.412,-0.123,-0.119,3.362,62.02
76,AVGO,260009777000,0.955,45.58,13.49,10.54,0.253,0.229,10.68,394.38
77,BR,20792864000,0.882,38.13,4.655,4.825,0.347,0.106,11.86,143.14
78,BRO,18981908000,0.716,32.34,2.049,6.86,0.149,0.197,4.621,47.43
79,CHRW,13609687000,0.734,18.35,5.65,0.73,0.399,0.036,6.98,88.52
80,CDNS,51032744000,1.075,69.58,2.48,16.93,0.276,0.233,19.39,116.6
81,CZR,19021615000,2.938,None,-5.42,5.34,-0.266,-0.136,3.89,60.77
82,CPB,13019989000,0.498,13.8,3.121,2.15,0.32,0.114,4.025,47.34
83,COF,64017814000,1.662,5.54,26.74,-,0.206,0.395,1.008,108.92
84,CAH,13663900000,0.977,12.65,3.874,0.101,0.806,0.0068,9.81,53.12
85,KMX,24232684000,1.492,20.07,7.04,1.61,0.262,0.0428,4.93,107.34
86,CCL,22475904000,2.167,None,-8.51,72.36,-0.53,0,1.512,23.25
87,CARR,48104130000,None,21.31,2.493,2.772,0.356,0.111,6.97,38.31
88,CTLT,20939721000,1.339,38.52,3.177,5.65,0.148,0.143,5.21,94.51
89,CAT,110059978000,0.899,21.53,9.35,2.838,0.325,0.106,6.6,173.34
90,CBOE,14082205000,0.637,30.7,4.184,4.347,0.132,0.13,4.027,104.76
91,CBRE,34704850000,1.405,23.98,4.29,1.395,0.195,0.0559,4.359,66.93
92,CDW,26448346000,1.088,26.39,7.12,1.517,0.975,0.05,31.6,144.31
93,CE,17519497000,1.258,6.48,24.79,2.574,0.794,0.359,4.47,125.52
94,CNC,45775805000,0.506,65.53,1.249,0.44,0.0276,0.0064,1.73,64.45
95,CNP,17526488000,0.964,17.73,1.573,4.173,-0.0357,0.128,2.171,22.35
96,CDAY,15717267000,1.391,None,-0.561,17.12,-0.0391,-0.0862,7.07,86.93
97,CERN,21881347000,0.771,45.45,1.7,4.018,0.127,0.0915,5.7,73.43
98,CF,13119463000,1.022,45.1,1.38,3.156,0.0938,0.0586,4.465,40.97
99,CRL,18053134000,1.184,45.77,7.72,6.13,0.184,0.116,7.44,263.76
