,Symbol,Description,Sector,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
101,CHTR,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",TECHNOLOGY,109527000000.0,0.959,29.62,21.94,3.869,0.177,0.084,6.43,616.78
102,CVX,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",ENERGY & TRANSPORTATION,228122000000.0,1.273,21.96,5.17,1.928,0.0741,0.0736,1.679,95.47
103,CMG,"Chipotle Mexican Grill, Inc., often known simply as Chipotle, is an American chain of fast casual restaurants in the United States, United Kingdom, Canada, Germany, and France, specializing in tacos and Mission burritos that are made to order in front of the customer.",TRADE & SERVICES,48432288000.0,1.262,67.61,24.91,7.08,0.345,0.0988,20.96,1308.69
104,CB,"Chubb Limited, incorporated in Zurich, Switzerland, is the parent company of Chubb, a global provider of insurance products covering property and casualty, accident and health, reinsurance, and life insurance and the largest publicly traded property and casualty company in the world.",FINANCE,82474033000.0,0.813,9.65,19.67,2.466,0.152,0.218,1.39,149.82
105,CHD,"Church & Dwight Co., Inc., is a major American manufacturer of household products that is headquartered in Ewing, New Jersey.",LIFE SCIENCES,23912500000.0,0.412,29.92,3.278,4.989,0.244,0.16,6.81,82.66
106,CI,"Cigna is an American multinational managed healthcare and insurance company based in Bloomfield, Connecticut. Its insurance subsidiaries are major providers of medical, dental, disability, life and accident insurance and related products and services, the majority of which are offered through employers and other groups (e.g. governmental and non-governmental organizations, unions and associations).",FINANCE,71237086000.0,0.871,9.14,24.03,0.599,0.17600000000000002,0.0492,1.502,206.77
107,CINF,"Cincinnati Financial Corporation offers property and casualty insurance, its main business, through The Cincinnati Insurance Company, The Cincinnati Indemnity Company and The Cincinnati Casualty Company.",FINANCE,18753589000.0,0.694,7.28,15.53,2.063,0.23399999999999999,0.281,1.584,95.44
108,CTAS,"Cintas Corporation is an American corporation headquartered in Cincinnati, Ohio, which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses.",MANUFACTURING,47407225000.0,1.466,41.51,10.56,6.9,0.33,0.157,14.33,326.14
109,CSCO,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",TECHNOLOGY,249893000000.0,0.913,22.48,2.69,4.648,0.282,0.22399999999999998,5.85,47.55
110,C,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",FINANCE,120465000000.0,1.822,5.64,10.56,-,0.11699999999999999,0.306,0.659,61.75
111,CFG,"Citizens Financial Group, Inc. is an American bank headquartered in Providence, Rhode Island.",FINANCE,20201860000.0,1.59,9.46,4.98,-,0.0978,0.326,0.944,36.05
112,CTXS,"Citrix Systems, Inc. is an American multinational software company that provides server, application and desktop virtualization, networking, software as a service (SaaS), and cloud computing technologies.",TECHNOLOGY,10166161000.0,-0.001,33.17,2.5180000000000002,4.164,1.3519999999999999,0.0997,25.43,125.76
113,CLX,"The Clorox Company, based in Oakland, California, is an American global manufacturer and marketer of consumer and professional products.",LIFE SCIENCES,20706062000.0,0.168,50.23,3.467,3.281,0.479,0.0604,56.27,189.09
114,CME,"CME Group Inc. (Chicago Mercantile Exchange, Chicago Board of Trade, New York Mercantile Exchange, The Commodity Exchange) is an American global markets company. It is the world's largest financial derivatives exchange, and trades in asset classes that include agricultural products, currencies, energy, interest rates, metals, stock indexes and cryptocurrencies futures.",FINANCE,82086802000.0,0.462,33.15,6.78,18.09,0.0898,0.526,3.009,191.61
115,CMS,"CMS Energy (NYSE: CMS), based in Jackson, Michigan, is an energy company that is focused principally on utility operations in Michigan.",ENERGY & TRANSPORTATION,18114778000.0,0.224,21.27,3.017,4.241,0.129,0.12,3.088,61.09
116,KO,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",MANUFACTURING,243097000000.0,0.686,28.42,2.031,7.14,0.397,0.233,10.96,51.81
117,CTSH,"Cognizant is an American multinational technology company that provides business consulting, information technology and outsourcing services. It is headquartered in Teaneck, New Jersey, United States.",TECHNOLOGY,43123167000.0,1.127,23.93,3.545,2.366,0.166,0.105,3.735,69.21
118,CL,"Colgate-Palmolive Company is an American multinational consumer products company headquartered on Park Avenue in Midtown Manhattan, New York City. It specializes in the production, distribution and provision of household, health care, personal care and veterinary products.",LIFE SCIENCES,69754160000.0,0.591,26.25,3.13,4.251,428.46,0.154,113.34,76.98
119,CMCSA,"Comcast Corporation is an American telecommunications conglomerate headquartered in Philadelphia, Pennsylvania. It is the second-largest broadcasting and cable television company in the world by revenue (behind AT&T), the largest pay-TV company, the largest cable TV company and largest home Internet service provider in the United States, and the nation's third-largest home telephone service provider. Comcast provides services to U.S. residential and commercial customers in 40 states and in the District of Columbia. As the parent company of the international media company NBCUniversal since 2011, Comcast is a producer of feature films and television programs intended for theatrical exhibition and over-the-air and cable television broadcast, respectively.",TECHNOLOGY,221364000000.0,0.955,15.68,3.109,2.697,0.153,0.127,2.311,48.73
120,CMA,"Comerica Incorporated is a financial services company headquartered in Dallas, Texas.",FINANCE,11085997000.0,1.51,10.43,8.03,-,0.145,0.342,1.496,57.92
121,CAG,"Conagra Brands, Inc. (formerly ConAgra Foods) is an American consumer packaged goods holding company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments.",MANUFACTURING,15388448000.0,0.807,13.94,2.481,2.203,0.14300000000000002,0.10800000000000001,1.798,34.58
122,COP,"ConocoPhillips is an American multinational corporation engaged in hydrocarbon exploration. It is based in the Energy Corridor district of Houston, Texas.",ENERGY & TRANSPORTATION,96929405000.0,1.621,18.61,3.687,2.892,0.125,0.127,2.197,49.21
123,ED,"Consolidated Edison, Inc., commonly known as Con Edison (stylized as conEdison) or ConEd, is one of the largest investor-owned energy companies in the United States, with approximately $12 billion in annual revenues as of 2017, and over $48 billion in assets. The company provides a wide range of energy-related products and services to its customers through its subsidiaries.",ENERGY & TRANSPORTATION,29223183000.0,0.199,24.83,3.3760000000000003,4.035,0.054000000000000006,0.0881,1.458,76.96
124,STZ,"Constellation Brands, Inc., headquartered in Victor, New York, is an American producer and marketer of beer, wine, and spirits.",MANUFACTURING,43855573000.0,1.164,62.56,3.872,6.18,0.0678,0.0862,3.942,201.33
125,COO,"The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",LIFE SCIENCES,19700928000.0,0.861,6.65,59.16,7.29,0.547,1.008,2.838,356.86
126,CPRT,"Copart, Inc. or simply Copart is a global provider of online vehicle auction and remarketing services to automotive resellers such as insurance, rental car, fleet and finance companies in 11 countries: the US, Canada, the UK, Germany, Ireland, Brazil, Spain, Dubai, Bahrain, Oman and Finland.",TRADE & SERVICES,35390890000.0,1.058,34.49,4.15,11.9,0.306,0.34299999999999997,9.33,111.7
127,GLW,"Corning Incorporated is an American multinational technology company that specializes in specialty glass, ceramics, and related materials and technologies including advanced optics, primarily for industrial and scientific applications.",MANUFACTURING,32096692000.0,1.09,36.54,1.004,2.739,0.133,0.121,2.643,34.07
128,CTVA,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",LIFE SCIENCES,34958476000.0,0.785,20.93,2.202,2.246,0.0716,0.107,1.413,36.39
129,COST,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",TRADE & SERVICES,246900000000.0,0.634,47.09,11.63,1.206,0.306,0.0254,14.06,363.69
130,CTRA,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",ENERGY & TRANSPORTATION,17011908000.0,-0.117,22.37,0.879,10.65,0.158,0.18100000000000002,7.31,8.02
131,CCI,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",REAL ESTATE & CONSTRUCTION,83505990000.0,0.45,70.13,2.8710000000000004,17.78,0.146,0.203,9.81,168.63
132,CSX,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",ENERGY & TRANSPORTATION,81488711000.0,1.219,22.48,1.589,8.07,0.27899999999999997,0.303,6.19,28.21
133,CMI,"Cummins is a Columbus, Indiana based multinational corporation that designs, manufactures, and distributes engines, filtration, and power generation products. Cummins also services engines and related equipment, including fuel systems, controls, air handling, filtration, emission control, electrical power generation systems, and trucks.",TECHNOLOGY,31195246000.0,1.067,13.87,15.21,1.357,0.258,0.0933,3.86,212.69
134,CVS,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",TRADE & SERVICES,130501000000.0,0.808,17.52,5.73,0.689,0.106,0.0267,1.756,72.18
135,DHI,"D.R. Horton, Inc. is a home construction company incorporated in Delaware and headquartered in Arlington, Texas.",REAL ESTATE & CONSTRUCTION,39093460000.0,1.625,9.03,11.41,1.488,0.307,0.15,2.626,73.32
136,DHR,"Danaher Corporation is an American globally diversified conglomerate with its headquarters in Washington, D.C.. The company designs, manufactures, and markets professional, medical, industrial, and commercial products and services. The company's 3 platforms are Life Sciences, Diagnostics, and Environmental & Applied Solutions.",LIFE SCIENCES,226871000000.0,0.709,39.76,7.88,8.95,0.142,0.21,5.65,223.74
137,DRI,"Darden Restaurants, Inc. is an American multi-brand restaurant operator headquartered in Orlando.",TRADE & SERVICES,19702661000.0,1.437,22.37,6.25,2.969,0.32299999999999995,0.10300000000000001,7.16,113.85
138,DVA,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,LIFE SCIENCES,10782039000.0,1.197,12.25,8.56,1.878,0.419,0.0833,9.38,100.14
139,DE,"John Deere is the brand name of Deere & Company, an American corporation that manufactures agricultural, construction, and forestry machinery, diesel engines, drivetrains (axles, transmissions, gearboxes) used in heavy equipment, and lawn care equipment.",TECHNOLOGY,111114000000.0,1.073,18.27,18.99,3.425,0.38,0.136,6.03,262.1
140,DAL,"Delta Air Lines, Inc., typically referred to as Delta, is one of the major airlines of the United States and a legacy carrier. It is headquartered in Atlanta, Georgia.",ENERGY & TRANSPORTATION,24435728000.0,1.287,None,-0.11199999999999999,1.862,-0.0225,-0.0028,9.38,39.29
141,XRAY,Dentsply Sirona is an American dental equipment manufacturer and dental consumables producer that markets its products in over 120 countries.,LIFE SCIENCES,11649568000.0,0.908,28.08,1.902,3.2,0.0846,0.0985,2.274,53.48
142,DVN,Devon Energy Corporation is an American energy company engaged in hydrocarbon exploration in the American market.,ENERGY & TRANSPORTATION,29395340000.0,3.069,19.46,2.0140000000000002,3.671,0.204,0.11599999999999999,3.294,19.97
143,DXCM,"DexCom, Inc. is a company that develops, manufactures, and distributes continuous glucose monitoring (CGM) systems for diabetes management. It operates internationally with headquarters in San Diego, California, and has a manufacturing facility in Mesa, Arizona.",LIFE SCIENCES,54906332000.0,0.792,99.84,5.3,23.32,0.29100000000000004,0.228,25.7,391.48
144,FANG,"Diamondback Energy is a company engaged in hydrocarbon exploration and headquartered in Midland, Texas.",ENERGY & TRANSPORTATION,20142986000.0,2.536,40,2.5610000000000004,4.809,0.0406,0.0839,1.754,62.76
145,DLR,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",REAL ESTATE & CONSTRUCTION,47420884000.0,0.216,72.35,2.371,14.54,0.0395,0.158,2.867,144.33
146,DFS,"Discover Financial Services is an American financial services company that owns and operates Discover Bank, which offers checking and savings accounts, personal loans, home equity loans, student loans and credit cards. It also owns and operates the Discover and Pulse networks, and owns Diners Club International. Discover is currently headquartered in the Chicago suburb of Riverwoods, Illinois.",FINANCE,34222456000.0,1.692,6.82,16.72,-,0.441,0.451,2.804,84.46
147,DISCA,"Discovery, Inc. is an American multinational mass media factual television company based in New York City. Established in 1985, the company primarily operates a group of factual and lifestyle television brands, such as the namesake Discovery Channel, Animal Planet, Science Channel, and TLC.",TECHNOLOGY,11570890000.0,1.321,15.57,1.495,1.955,0.11199999999999999,0.10400000000000001,1.015,29.38
148,DISCK,"Discovery, Inc. is an American multinational mass media factual television company based in New York City. Established in 1985, the company primarily operates a group of factual and lifestyle television brands, such as the namesake Discovery Channel, Animal Planet, Science Channel, and TLC.",TECHNOLOGY,11570890000.0,1.321,15,1.495,1.955,0.11199999999999999,0.10400000000000001,0.977,26.59
149,DISH,"DISH Network Corporation is an American television provider and the owner of the direct-broadcast satellite provider DISH, commonly known as DISH Network, and the over-the-top IPTV service, Sling TV.",TECHNOLOGY,16990396000.0,2.107,7.99,4.159,1.599,0.185,0.14400000000000002,1.136,35.08
150,DG,"Dollar General Corporation is an American chain of variety stores headquartered in Goodlettsville, Tennessee.",TRADE & SERVICES,51531526000.0,0.487,21.75,10.23,1.917,0.371,0.0719,8.33,198.18
151,DLTR,"Dollar Tree is an American chain of discount variety stores that sells items for $1 or less, headquartered in Chesapeake, Virginia.",TRADE & SERVICES,31842530000.0,0.736,22.94,5.94,1.573,0.19399999999999998,0.0529,4.396,97.27
152,D,"Dominion Energy, Inc., commonly referred to as Dominion, is an American power and energy company headquartered in Richmond, Virginia that supplies electricity in parts of Virginia, North Carolina, and South Carolina and supplies natural gas to parts of Utah, West Virginia, Ohio, Pennsylvania, North Carolina, South Carolina, and Georgia. Dominion also has generation facilities in Indiana, Illinois, Connecticut, and Rhode Island.",ENERGY & TRANSPORTATION,61520643000.0,0.42,24.17,3.1710000000000003,7.73,0.0964,0.193,2.509,77.83
153,DPZ,"Domino's Pizza, Inc., branded as Domino's, is an American multinational pizza restaurant chain founded in 1960. The corporation is headquartered at the Domino's Farms Office Park in Ann Arbor, Michigan.",TRADE & SERVICES,19431694000.0,0.53,40.1,13.18,5.59,-99999.99,0.11599999999999999,-,401.0
154,DOV,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",TECHNOLOGY,24673210000.0,1.369,26.56,6.49,3.507,0.264,0.122,6.34,126.71
155,DOW,"Dow Inc. is an American commodity chemical company. The company is headquartered in Midland, Michigan.",LIFE SCIENCES,40442116000.0,1.622,7.02,7.71,1.052,0.39399999999999996,0.113,2.46,52.34
156,DTE,DTE Energy (formerly Detroit Edison until 1996) is a Detroit-based diversified energy company involved in the development and management of energy-related businesses and services in the United States and Canada.,ENERGY & TRANSPORTATION,22514984000.0,0.669,25.82,4.515,2.838,0.0966,0.0619,2.628,119.65
157,DUK,"Duke Energy Corporation is an American electric power and natural gas holding company headquartered in Charlotte, North Carolina.",ENERGY & TRANSPORTATION,78096046000.0,0.32,26.35,3.91,5.91,0.055999999999999994,0.128,1.649,92.99
158,DRE,"Duke Realty is a major United States real estate investment trust, based in Indianapolis, Indiana. It mainly owns industrial warehouses.",REAL ESTATE & CONSTRUCTION,23456570000.0,0.619,25.49,2.436,24.2,0.16699999999999998,0.82,3.942,41.28
159,DD,"DuPont de Nemours, Inc., commonly known as DuPont, is an American company formed by the merger of Dow Chemical and E. I. du Pont de Nemours and Company on August 31, 2017, and the subsequent spinoffs of Dow Inc. and Corteva. Prior to the spinoffs it was the world's largest chemical company in terms of sales.",LIFE SCIENCES,41469032000.0,1.257,7.07,10.82,2.272,0.0464,0.292,1.557,64.2
160,DXC,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,TECHNOLOGY,7784090000.0,2.399,20.15,1.52,0.68,0.0801,0.0232,1.631,26.87
161,EMN,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",LIFE SCIENCES,15769845000.0,1.532,31.85,3.7260000000000004,2.061,0.0843,0.0513,2.577,91.74
162,ETN,"Eaton Corporation plc is an American Irish-domiciled multinational power management company with 2020 sales of 17.86 billion USD, founded in the United States with corporate headquarters in Dublin, Ireland, and operational headquarters in Beachwood, Ohio.",TECHNOLOGY,67945356000.0,1.191,32.03,5.15,3.929,0.136,0.106,4.254,119.95
163,EBAY,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",TRADE & SERVICES,41873393000.0,1.139,3.502,18.28,3.14,0.284,1.071,3.826,54.99
164,ECL,"Ecolab Inc., headquartered in St. Paul, Minnesota, is an American corporation that develops and offers services, technology and systems that specialize in water treatment, purification, cleaning and hygiene in a wide variety of applications. It helps organizations both private market as well as public treat their water, not only for drinking directly, but also for use in food, healthcare, hospitality related safety and industry.",LIFE SCIENCES,66486481000.0,1.006,57.65,3.911,5.78,0.17600000000000002,0.0908,9.59,206.79
165,EIX,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",ENERGY & TRANSPORTATION,25476648000.0,0.685,33.23,2.0069999999999997,3.725,0.0471,0.0517,1.873,59.56
166,EW,"Edwards Lifesciences is an American medical technology company headquartered in Irvine, California, specializing in artificial heart valves and hemodynamic monitoring.",LIFE SCIENCES,76068915000.0,1.059,52.52,2.325,14.71,0.303,0.29,13.73,87.44
167,EA,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",TECHNOLOGY,35532015000.0,0.861,46.97,2.715,5.55,0.0985,0.12300000000000001,4.523,130.31
168,EMR,"Emerson Electric Co. is an American multinational corporation headquartered in Ferguson, Missouri. The Fortune 500 company manufactures products and provides engineering services for a wide range of industrial, commercial, and consumer markets.",MANUFACTURING,55081791000.0,1.514,23.74,3.82,3.28,0.253,0.126,5.57,78.89
169,ENPH,"Enphase Energy is an American energy technology company headquartered in Fremont, California. Enphase designs and manufactures software-driven home energy solutions that span solar generation, home energy storage and web-based monitoring and control.",MANUFACTURING,29008875000.0,1.3,164.16,1.1520000000000001,23.21,0.312,0.134,44.78,116.51
170,ETR,Entergy Corporation is a Fortune 500 integrated energy company engaged primarily in electric power production and retail distribution operations in the Deep South of the United States.,ENERGY & TRANSPORTATION,21587401000.0,0.606,17.72,6.18,4.06,0.111,0.11,1.919,104.06
171,EOG,"EOG Resources, Inc. is an American energy company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in the Heritage Plaza building in Houston, Texas.",ENERGY & TRANSPORTATION,52470869000.0,2.01,16.19,5.19,3.217,0.14400000000000002,0.18,2.411,62.33
172,EFX,"Equifax Inc. is an American multinational consumer credit reporting agency and is one of the three largest consumer credit reporting agencies, along with Experian and TransUnion. In addition to credit and demographic data and services to business, Equifax sells credit monitoring and fraud prevention services directly to consumers.",TRADE & SERVICES,36005088000.0,1.433,48.93,5.65,8.24,0.21600000000000003,0.145,10.17,189.66
173,EQIX,"Equinix, Inc. is an American multinational company headquartered in Redwood City, California, that specializes in Internet connection and data centers.",REAL ESTATE & CONSTRUCTION,71842973000.0,0.358,173.36,4.743,13.17,0.0405,0.0654,6.8,723.26
174,EQR,Equity Residential is a publicly traded real estate investment trust that invests in apartments.,REAL ESTATE & CONSTRUCTION,32573909000.0,0.809,31.05,2.823,16.87,0.0982,0.435,3.066,69.37
175,ESS,"Essex Property Trust is a publicly traded real estate investment trust that invests in apartments, primarily on the West Coast of the United States.",REAL ESTATE & CONSTRUCTION,22499561000.0,0.747,49.75,6.87,19.86,0.0759,0.298,3.782,270.59
176,EL,"The Estee Lauder Companies Inc. is an American multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products, based in Midtown Manhattan, New York City. The company owns a diverse portfolio of brands, distributed internationally through both digital commerce and retail channels.",LIFE SCIENCES,130081000000.0,1.005,41.94,8.25,7.87,0.532,0.17800000000000002,21.39,251.52
177,ETSY,"Etsy, Inc. is an American e-commerce company focused on handmade or vintage items and craft supplies. These items fall under a wide range of categories, including jewelry, bags, clothing, home decor and furniture, toys, art, as well as craft supplies and tools.",TRADE & SERVICES,28561166000.0,1.623,64.84,3.367,13.49,0.8009999999999999,0.215,53.52,146.92
178,EVRG,"Evergy is an American investor-owned utility (IOU) with publicly traded stock that has its headquarters in Topeka, Kansas, and in Kansas City, Missouri.",ENERGY & TRANSPORTATION,15349523000.0,0.431,17.44,3.8360000000000003,4.697,0.0983,0.158,1.647,60.25
179,ES,"Eversource Energy is a publicly traded, Fortune 500 energy company headquartered in Hartford, Connecticut, and Boston, Massachusetts.",ENERGY & TRANSPORTATION,30213655000.0,0.402,26.28,3.4419999999999997,5.15,0.0832,0.12300000000000001,2.096,85.77
180,RE,"Everest Re Group is a reinsurance company based in Hamilton, Bermuda.",FINANCE,10628456000.0,0.689,10.55,25.3,1.05,0.10300000000000001,0.0879,1.065,237.62
181,EXC,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois and incorporated in Pennsylvania.",ENERGY & TRANSPORTATION,52741112000.0,0.481,31.3,1.71,2.627,0.0541,0.0481,1.558,42.9
182,EXPE,"Expedia Group, Inc. is an American online travel shopping company for consumer and small business travel. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include Expedia.com, Vrbo (previously HomeAway), Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago and CarRentals.com.",ENERGY & TRANSPORTATION,25297539000.0,1.616,None,-6.51,4.093,-0.19899999999999998,-0.105,15.78,124.96
183,EXPD,"Expeditors (Expeditors International of Washington) is an American worldwide logistics and freight forwarding company headquartered in Seattle, Washington.",ENERGY & TRANSPORTATION,22193595000.0,0.785,19.23,6.76,1.423,0.39299999999999996,0.0793,6.49,96.15
184,EXR,"Extra Space Storage is a real estate investment trust headquartered in Cottonwood Heights, Utah that invests in self storage units.",REAL ESTATE & CONSTRUCTION,27944558000.0,0.323,39.96,5.38,22.41,0.247,0.465,9.34,127.76
185,XOM,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.",ENERGY & TRANSPORTATION,266757000000.0,1.348,None,-1.386,1.321,-0.0346,-0.0243,1.661,50.95
186,FFIV,"F5, Inc. is an American company that specializes in application delivery networking (ADN), application availability & performance, multi-cloud management, application security, network security, access & authorization and online fraud prevention. F5 is headquartered in Seattle, Washington, with additional development, manufacturing, and administrative offices worldwide.",TECHNOLOGY,14049695000.0,1.052,43.63,5.34,5.32,0.14400000000000002,0.127,5.95,165.21
187,FAST,"Fastenal Company is an American company based in Winona, Minnesota. Fastenal's service model centers on approximately 3,200 in-market locations, each providing custom inventory, and a dedicated sales team to support local businesses. Fastenal offers companies supply chain solutions that help business reduce inventory touches, and supply chain waste.",TRADE & SERVICES,36867971000.0,1.218,41.21,1.54,6.38,0.304,0.152,12.44,46.48
188,FRT,"Federal Realty Investment Trust is a real estate investment trust that invests in shopping centers in the Northeastern United States, the Mid-Atlantic states, California, and South Florida.",REAL ESTATE & CONSTRUCTION,10136749000.0,1.125,42.94,3.016,15.74,0.0954,0.264,4.405,100.44
189,FDX,"FedEx Corporation, formerly Federal Express Corporation and later FDX Corporation, is an American multinational delivery services company headquartered in Memphis, Tennessee.",ENERGY & TRANSPORTATION,65424296000.0,1.287,13.77,18.18,1.095,0.214,0.0549,2.69,224.01
190,FIS,"FIS is an American Fortune 500 company which offers a wide range of financial products and services. Headquartered in Jacksonville, Florida, FIS employs approximately 63,000 people worldwide. FIS is most known for its development of Financial Technology, or FinTech, and as of Q2 2020 it offers its solutions in three primary segments: Merchant Solutions, Banking Solutions, and Capital Market Solutions.",TRADE & SERVICES,63633933000.0,0.746,299.94,0.36,6.07,0.0049,0.017,1.351,137.89
191,FITB,"Fifth Third Bank is a bank headquartered in Cincinnati, Ohio, at Fifth Third Center. It is the principal subsidiary of Fifth Third Bancorp, a diversified bank holding company.",FINANCE,29866453000.0,1.454,11.68,3.6180000000000003,-,0.11900000000000001,0.32899999999999996,1.464,29.88
192,FE,"FirstEnergy Corp is an electric utility headquartered in Akron, Ohio. Its subsidiaries and affiliates are involved in the distribution, transmission, and generation of electricity, as well as energy management and other energy-related services.",ENERGY & TRANSPORTATION,21569905000.0,0.334,19.92,2.012,4.063,0.139,0.10099999999999999,2.884,36.95
193,FRC,"First Republic Bank is an American bank and wealth management company offering personal banking, business banking, trust and wealth management services, catering to low-risk, high net-worth clientele, and focusing on providing personalized customer experience. The bank specializes in delivering personalized relationship-based service through preferred banking or trust offices in the United States.",FINANCE,37409820000.0,1.113,27.45,7.26,-,0.105,0.294,3.141,146.63
194,FISV,"Fiserv, Inc. is an American multinational company headquartered in Brookfield, Wisconsin that provides financial technology and financial services. The company's clients include banks, thrifts, credit unions, securities broker dealers, leasing and finance companies, and retailers.",TECHNOLOGY,68129333000.0,0.826,53.7,1.93,5.58,0.0417,0.0823,2.156,108.6
195,FLT,"FleetCor Technologies, Inc. or FLEETCOR provides fuel cards and workforce payment products and services.",TRADE & SERVICES,18091859000.0,1.421,22.12,9.69,8.5,0.27,0.311,5.7,260.48
196,FMC,"FMC Corporation (Food Machinery and Chemical Corporation) is an American chemical manufacturing company headquartered in Philadelphia, Pennsylvania.",LIFE SCIENCES,13397630000.0,0.864,19.54,4.556,3.504,20.6,0.124,4.523,103.48
197,F,"Ford Motor Company, commonly known as Ford, is an American multinational automaker that has its main headquarters in Dearborn, Michigan.",MANUFACTURING,85719380000.0,1.089,27.73,0.713,1.375,0.0815,0.0213,2.342,10.06
198,FTNT,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",TECHNOLOGY,54384935000.0,1.153,100.49,3.322,16.72,0.6,0.177,48.64,176.19
199,FTV,"Fortive is an American diversified industrial technology conglomerate company headquartered in Everett, Washington.",LIFE SCIENCES,26950696000.0,1.203,16.09,4.584,5.59,0.2,0.319,2.892,55.63
